Return,steps
-9.8,235
-8.8,230
-7.8,235
-4.8,225
-8.8,238
-9.8,246
-9.8,250
-8.8,250
-8.8,256
-2.0,309
-8.8,238.0
-9.8,245.0
-4.0,235.0
-8.8,271.0
1.0,279.0
0.0,281.0
-1.0,338.0
-8.8,250.0
8.0,400.0
-9.8,230.0
3.0,458.0
-7.8,235.0
2.0,269.0
-7.8,255.0
-8.8,250.0
4.0,323.0
-7.8,235.0
-8.8,235.0
9.0,365.0
-7.8,250.0
0.0,240.0
-8.8,230.0
-9.8,245.0
-8.8,250.0
3.0,315.0
-1.0,251.0
7.0,363.0
10.0,444.0
-9.8,245.0
-2.0,294.0
0.0,276.0
2.0,331.0
4.0,396.0
-7.8,255.0
-7.8,250.0
-8.8,235.0
10.0,445.0
-7.8,255.0
-2.0,253.0
2.0,315.0
-8.8,230.0
8.0,460.0
-8.8,230.0
1.0,323.0
-8.8,237.0
3.0,433.0
8.0,457.0
2.0,270.0
-1.0,338.0
8.0,311.0
-8.8,250.0
7.0,471.0
-2.0,267.0
-9.8,250.0
-9.8,245.0
21.0,512.0
-8.8,250.0
9.0,432.0
-7.8,255.0
-8.8,230.0
-1.0,300.0
4.0,288.0
1.0,315.0
1.0,282.0
-1.0,291.0
1.0,255.0
-7.8,270.0
4.0,345.0
1.0,335.0
8.0,416.0
5.0,350.0
8.0,348.0
-8.8,235.0
-1.0,427.0
-7.8,255.0
0.0,275.0
-1.0,285.0
-9.8,230.0
1.0,325.0
-9.8,245.0
-4.0,244.0
-1.0,376.0
2.0,375.0
2.0,297.0
7.0,409.0
-9.8,245.0
-8.8,250.0
-8.8,245.0
-8.8,250.0
-8.8,250.0
0.0,337.0
-1.0,280.0
-7.8,255.0
1.0,385.0
13.0,507.0
-2.0,275.0
-7.8,255.0
-7.8,250.0
-1.0,300.0
-8.8,250.0
11.0,450.0
-3.0,329.0
1.0,265.0
-9.8,250.0
-1.0,265.0
2.0,409.0
-9.8,230.0
2.0,316.0
6.0,359.0
-8.8,235.0
-9.8,245.0
1.0,339.0
3.0,353.0
-2.0,283.0
2.0,295.0
-8.8,230.0
2.0,322.0
6.0,336.0
3.0,295.0
0.0,295.0
0.0,282.0
-9.8,254.0
21.0,512.0
-9.8,250.0
-8.8,245.0
3.0,351.0
0.0,302.0
-7.8,250.0
5.0,388.0
8.0,440.0
0.0,313.0
4.0,396.0
-9.8,245.0
0.0,321.0
1.0,254.0
-8.8,250.0
-8.8,250.0
1.0,417.0
-9.8,250.0
-7.8,255.0
-5.8,225.0
-9.8,230.0
6.0,413.0
1.0,288.0
3.0,305.0
5.0,310.0
5.0,363.0
-8.8,230.0
4.0,415.0
-1.0,298.0
5.0,421.0
2.0,302.0
-1.0,350.0
4.0,344.0
-1.0,271.0
-9.8,245.0
-1.0,327.0
-9.8,230.0
13.0,417.0
12.0,445.0
-8.8,235.0
5.0,356.0
-8.8,250.0
-9.8,245.0
1.0,285.0
-8.8,235.0
-2.0,279.0
-9.8,250.0
-9.8,245.0
-8.8,235.0
1.0,346.0
4.0,342.0
3.0,399.0
11.0,410.0
-7.8,250.0
9.0,425.0
-9.8,250.0
1.0,376.0
7.0,480.0
28.0,512.0
0.0,334.0
4.0,467.0
2.0,292.0
-7.8,255.0
2.0,289.0
-1.0,351.0
-8.8,249.0
6.0,397.0
-8.8,250.0
5.399999999999999,350.0
-8.8,245.0
0.0,390.0
-7.8,235.0
3.0,361.0
7.0,426.0
9.0,395.0
-9.8,250.0
-8.8,271.0
-7.8,235.0
9.0,449.0
-8.8,230.0
13.0,444.0
-7.8,270.0
-4.0,253.0
2.0,425.0
-8.8,257.0
-8.8,245.0
0.0,305.0
8.0,359.0
10.0,389.0
1.0,385.0
-7.8,255.0
-1.0,250.0
-7.8,255.0
-7.8,250.0
-1.0,316.0
-9.8,250.0
-8.8,245.0
-8.8,250.0
-9.8,245.0
2.0,403.0
6.0,424.0
6.0,399.0
-9.8,250.0
-9.8,250.0
2.0,297.0
3.0,360.0
-8.8,246.0
1.0,280.0
-9.8,250.0
6.0,451.0
-8.8,235.0
1.0,464.0
1.0,297.0
-8.8,247.0
9.0,385.0
-3.0,250.0
0.0,277.0
3.0,421.0
-2.0,286.0
-1.0,319.0
-9.8,230.0
-9.8,245.0
-8.8,235.0
-2.0,370.0
-3.0,305.0
6.0,385.0
0.0,320.0
2.0,339.0
-3.0,296.0
1.0,337.0
1.0,320.0
-8.8,250.0
-9.8,230.0
-8.8,235.0
-8.8,250.0
9.0,454.0
-7.8,235.0
-9.8,245.0
3.0,361.0
-3.0,305.0
-8.8,250.0
14.0,461.0
-3.0,245.0
5.0,315.0
2.0,269.0
5.0,384.0
7.0,395.0
-9.8,245.0
0.0,285.0
-7.8,255.0
0.0,367.0
-9.8,246.0
-9.8,245.0
6.0,422.0
-1.0,270.0
-7.8,255.0
-7.8,255.0
-9.8,250.0
-9.8,250.0
-7.8,270.0
7.0,404.0
-8.8,250.0
11.0,421.0
-2.0,279.0
-2.0,358.0
-1.0,256.0
-2.0,288.0
4.0,287.0
-8.8,245.0
-2.0,274.0
8.0,377.0
-9.8,257.0
5.0,355.0
-8.8,245.0
-2.0,262.0
11.0,491.0
-7.8,235.0
-8.8,235.0
3.0,300.0
-9.8,230.0
-7.8,235.0
5.0,314.0
5.0,375.0
5.0,347.0
1.0,402.0
2.0,320.0
-8.8,272.0
2.0,348.0
2.0,303.0
3.0,364.0
26.0,512.0
-8.8,237.0
5.0,316.0
0.0,250.0
-8.8,250.0
-9.8,272.0
7.0,378.0
8.0,485.0
12.0,452.0
-8.8,250.0
-2.0,295.0
1.0,348.0
6.0,430.0
0.0,343.0
-9.8,245.0
1.0,376.0
5.0,389.0
-9.8,250.0
-8.8,250.0
-8.8,245.0
1.0,285.0
8.0,463.0
-9.8,250.0
1.0,351.0
5.0,386.0
-2.0,290.0
1.0,344.0
-9.8,246.0
-9.8,250.0
-1.0,302.0
-8.8,245.0
-2.0,280.0
12.0,410.0
-9.8,230.0
-8.8,275.0
-9.8,250.0
-9.8,245.0
5.0,295.0
-3.0,336.0
7.0,501.0
-8.8,235.0
-1.0,350.0
0.0,361.0
9.0,354.0
-1.0,269.0
4.0,385.0
3.0,407.0
10.0,401.0
7.0,371.0
-8.8,245.0
3.0,315.0
5.0,383.0
5.0,294.0
9.0,470.0
-9.8,237.0
7.0,451.0
-8.8,235.0
1.0,400.0
-2.0,342.0
1.0,346.0
0.0,255.0
10.0,378.0
-8.8,250.0
5.0,319.0
1.0,266.0
1.0,299.0
-1.0,257.0
-5.0,295.0
-9.8,250.0
7.0,419.0
-8.8,250.0
-9.8,250.0
-8.8,250.0
4.0,435.0
-8.8,230.0
5.0,365.0
4.0,316.0
-1.0,295.0
8.0,425.0
5.0,336.0
3.0,375.0
-7.8,235.0
5.0,360.0
3.0,261.0
-9.8,255.0
-8.8,230.0
5.0,324.0
-7.8,235.0
-8.8,250.0
1.0,300.0
-8.8,230.0
1.0,397.0
-7.8,250.0
-7.8,270.0
1.0,300.0
-8.8,235.0
-1.0,428.0
6.0,386.0
0.0,278.0
5.0,318.0
-8.8,250.0
1.0,257.0
11.0,367.0
-8.8,230.0
2.0,297.0
-3.0,275.0
-8.8,250.0
2.0,315.0
-7.8,255.0
-8.8,250.0
2.0,304.0
1.0,275.0
0.0,328.0
2.0,281.0
1.0,340.0
-9.8,230.0
-9.8,245.0
-8.8,250.0
-1.0,273.0
-9.8,245.0
-9.8,250.0
-8.8,235.0
2.0,376.0
-9.8,245.0
7.0,409.0
-7.8,255.0
-8.8,235.0
-2.0,355.0
-9.8,245.0
0.0,378.0
