Return,steps
0,-7.919999999999999,247.4
1,-4.2,276.7
2,-3.08,287.5
3,-2.0200000000000005,287.7
4,-1.6199999999999999,301.1
5,0.2599999999999998,328.9
6,-1.8800000000000003,316.2
7,1.02,309.7
8,-2.4200000000000004,297.5
9,-3.9,294.1
10,-2.22,309.4
11,-1.0400000000000003,310.8
12,-0.36000000000000015,299.3
13,0.07999999999999971,327.4
14,-3.9,295.1
15,-0.1400000000000002,307.7
16,1.3399999999999999,335.2
17,-6.06,261.5
18,4.64,379.0
19,-0.7000000000000004,323.4
20,-1.5000000000000004,325.7
21,-0.5200000000000002,317.7
22,-6.159999999999999,270.1
23,-1.8200000000000003,315.9
24,-0.2600000000000001,331.3
25,-2.9400000000000004,304.4
26,-3.9799999999999995,291.7
27,0.8399999999999999,315.4
28,-5.76,281.5
29,-1.0400000000000003,305.8
30,-1.2200000000000002,303.1
31,-0.4400000000000002,314.6
32,3.3599999999999994,351.6
33,-2.62,317.6
34,-2.4200000000000004,311.0
35,-3.6,286.8
36,2.92,363.4
37,0.05999999999999979,337.2
38,-0.6600000000000001,291.5
39,-0.9200000000000003,323.5
40,-2.2,286.1
41,-2.5200000000000005,307.4
42,-1.6200000000000003,281.4
43,-3.22,277.6
44,-5.76,285.0
45,-1.04,293.0
46,-3.3,297.8
47,-3.0200000000000005,300.4
48,-4.4799999999999995,275.9
49,-3.12,279.4
50,-3.4,296.2
51,-3.72,298.9
52,-4.5,259.7
53,-2.2,309.6
54,-3.8,257.1
55,-4.38,286.5
56,0.07999999999999971,303.6
57,-0.9600000000000002,304.2
58,-1.5400000000000003,288.0
59,0.15999999999999986,291.8
60,-7.619999999999999,259.9
61,-1.8200000000000003,295.3
62,-3.22,286.2
63,0.2599999999999998,326.7
64,-0.5000000000000003,304.7
65,-2.4400000000000004,298.8
66,-0.46000000000000013,296.8
67,-1.2400000000000002,299.2
68,0.72,317.1
69,0.7399999999999999,323.9
70,-2.0200000000000005,317.1
71,-2.88,323.8
72,-2.04,301.7
73,-0.16000000000000014,311.0
74,-4.1,284.6
75,-3.0,287.9
76,-2.5800000000000005,293.6
77,4.24,349.1
78,-1.0399999999999998,294.5
79,-0.3200000000000002,307.7
80,-3.72,279.4
81,0.09999999999999964,327.2
82,-4.58,277.1
83,-3.0200000000000005,279.4
84,-6.06,263.5
85,-3.6,273.8
86,1.9800000000000004,313.1
87,-2.1800000000000006,304.2
88,-0.3400000000000002,310.3
89,-5.76,266.2
90,-1.2200000000000002,326.6
91,-2.62,284.7
92,0.05999999999999979,355.7
93,2.7199999999999998,315.8
94,2.2199999999999998,335.5
95,-3.0200000000000005,303.1
96,-3.6799999999999997,298.6
97,0.33999999999999986,299.6
98,-1.4400000000000002,305.3
99,-3.6,276.9
100,-3.72,273.1
101,-4.58,278.9
102,-3.7,313.2
103,-3.0000000000000004,280.6
104,-2.2800000000000002,316.7
105,0.17999999999999972,320.3
106,-2.6000000000000005,296.8
107,-2.5200000000000005,283.4
108,-1.5400000000000003,292.6
109,0.4599999999999998,338.1
110,2.82,350.0
111,-1.7400000000000002,302.2
112,-5.06,266.7
113,-2.0200000000000005,328.9
114,-1.44,311.3
115,-1.4200000000000004,302.7
116,-0.8200000000000001,298.1
117,-0.5000000000000003,310.5
118,-0.9400000000000002,307.8
119,-6.339999999999999,266.1
120,-0.7200000000000003,306.8
121,-0.6800000000000004,300.6
122,-1.5000000000000004,301.1
123,-1.9200000000000004,282.5
124,-2.2,297.9
125,-4.3,283.5
126,-4.08,274.0
127,-4.279999999999999,291.4
128,-1.5000000000000004,310.6
129,-3.0,292.6
130,1.14,348.7
131,-2.62,274.3
132,-3.3,283.1
133,-3.8,277.0
134,-3.1000000000000005,286.0
135,-3.0000000000000004,305.3
136,0.6599999999999998,315.1
137,-3.2,298.0
138,0.9399999999999998,329.5
139,-2.22,276.5
140,-0.1400000000000002,303.2
141,-1.7200000000000002,291.0
142,-6.839999999999999,254.6
143,-1.5800000000000005,299.9
144,-0.5600000000000002,318.0
145,-4.279999999999999,280.6
146,-1.2200000000000002,292.2
147,1.6199999999999999,325.7
148,-2.8200000000000003,319.6
149,-3.78,283.8
150,1.0399999999999998,337.6
151,-0.4400000000000002,321.7
152,-1.7200000000000002,313.4
153,-1.1000000000000003,316.2
154,-2.22,302.0
155,1.8599999999999999,318.3
156,-4.6,302.3
157,1.42,340.6
158,-3.7,310.8
159,-5.06,272.8
