Return,steps
-7.8,235
-8.8,250
-8.8,250
-8.8,235
-7.8,255
-9.8,245
-2.0,286
-7.8,255
6.0,417
6.0,448
-9.8,230.0
-8.8,250.0
-1.0,255.0
-9.8,250.0
2.0,305.0
10.0,377.0
2.0,396.0
4.0,358.0
-8.8,235.0
-8.8,250.0
-7.8,255.0
-9.8,247.0
-8.8,235.0
6.0,330.0
-7.8,250.0
9.0,437.0
12.0,421.0
4.0,386.0
-9.8,250.0
6.0,391.0
-8.8,237.0
0.0,390.0
-9.8,245.0
2.0,285.0
2.0,297.0
-2.0,324.0
3.0,330.0
2.0,373.0
-9.8,250.0
3.0,345.0
-9.8,246.0
2.0,304.0
3.0,321.0
9.0,352.0
-8.8,245.0
9.0,350.0
-7.8,255.0
3.0,338.0
-7.8,255.0
-8.8,247.0
-8.8,250.0
0.0,325.0
-7.8,235.0
0.0,238.0
3.0,330.0
-1.0,328.0
-3.0,348.0
2.0,310.0
-9.8,245.0
-3.0,245.0
-1.0,418.0
6.0,354.0
-7.8,250.0
4.0,305.0
-7.8,270.0
0.0,335.0
-1.0,269.0
-8.8,250.0
-7.8,235.0
3.0,310.0
2.0,384.0
1.0,267.0
-7.8,235.0
3.0,311.0
4.0,311.0
3.0,350.0
5.0,305.0
8.0,430.0
3.0,270.0
-7.8,250.0
8.0,426.0
4.0,296.0
1.0,359.0
-9.8,250.0
-1.0,295.0
-9.8,245.0
-8.8,257.0
3.0,353.0
-7.8,235.0
-2.0,374.0
-8.8,250.0
1.0,344.0
-8.8,235.0
-1.0,248.0
-8.8,250.0
-7.8,255.0
-8.8,250.0
1.0,321.0
-3.0,262.0
-9.8,260.0
5.0,325.0
-9.8,245.0
-1.0,265.0
0.0,380.0
-1.0,249.0
2.0,370.0
-7.8,235.0
4.0,400.0
8.0,470.0
2.0,324.0
-1.0,346.0
-2.0,249.0
2.0,350.0
6.0,380.0
-8.8,250.0
2.0,299.0
2.0,312.0
-9.8,245.0
1.0,233.0
0.0,266.0
-8.8,250.0
2.0,336.0
2.0,339.0
1.0,255.0
4.0,435.0
-9.8,250.0
1.0,271.0
-8.8,230.0
-8.8,230.0
-7.8,250.0
10.0,400.0
-8.8,235.0
0.0,373.0
-8.8,250.0
2.0,290.0
1.0,386.0
2.0,285.0
-8.8,235.0
-8.8,250.0
-7.8,255.0
-8.8,250.0
2.0,365.0
-7.8,250.0
-9.8,245.0
0.0,409.0
-2.0,263.0
0.0,328.0
-7.8,235.0
8.0,358.0
-7.8,255.0
-9.8,230.0
3.0,332.0
-7.8,250.0
2.0,476.0
0.0,319.0
-8.8,250.0
-9.8,250.0
6.0,370.0
-7.8,250.0
3.0,280.0
-7.8,235.0
-2.0,281.0
-8.8,245.0
5.0,370.0
-8.8,250.0
6.0,360.0
-8.8,250.0
2.0,361.0
-1.0,285.0
22.0,512.0
-1.0,293.0
-8.8,235.0
13.0,506.0
4.0,365.0
-8.8,255.0
-9.8,250.0
